"duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_serror_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","class"
0,"tcp","http","SF",192,491,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,0,0.29,0,0,1,0,0.43,117,255,1,0,0.01,0.02,0,0,0.01,0,"normal"
0,"tcp","http","SF",220,18912,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,30,255,1,0,0.03,0.01,0,0,0,0,"normal"
0,"tcp","private","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,1,0,0,0.05,0.1,0,255,1,0,0.08,0,0,1,1,0,0,"anomaly"
0,"tcp","http","SF",278,7550,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,3,255,1,0,0.33,0.04,0,0,0,0,"normal"
0,"tcp","private","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,8,1,1,0,0,0.04,0.06,0,255,10,0.04,0.08,0,0,1,1,0,0,"anomaly"
0,"tcp","private","S0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,16,1,1,0,0,0.08,0.06,0,255,2,0.01,0.06,0,0,1,1,0,0,"anomaly"
0,"udp","private","SF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,11,0,0,0,0,0.3,0.08,0,255,14,0.05,0.9,0.11,0,0.13,0,0.77,0,"anomaly"
0,"tcp","http","SF",193,1750,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,1,0,0.22,49,255,1,0,0.02,0.03,0,0,0,0,"normal"
0,"tcp","http","SF",54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,38,38,1,0,0.03,0,0,0,0,0,"anomaly"
0,"tcp","private","REJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,12,0,0,1,1,0.1,0.08,0,255,12,0.05,0.09,0,0,0,0,1,1,"anomaly"
